Samples ID,Sample Type,Bed number,Hand/msd,Wet/dry,Top/bottom,Date collected,Date processed,Weight(g),PBS added(ml),Log(APC),Log(Coli),Log(E.coli),Log(APC repeat),Log(Coli repeat),Log(E.coli repeat)
Tis8,Produce Sample,Edge Creek,,,Top,6/27/2022,6/29/2022,214.44,194.44,5.672097858,6.122875576,2.531478917,7.424458141,7.389822118,4.505149978
Tis59,Produce Sample,4,,,Top,6/27/2022,6/29/2022,439.15,419.15,5.755874856,5.826288443,,7.278330106,7.231394068,
Tis4,Produce Sample,Edge Creek,,,Bottom,6/27/2022,6/29/2022,811.18,791.18,5.301029996,4.255272505,,,,
Tis22,Produce Sample,1,,,Top,6/27/2022,6/29/2022,399.95,379.95,5.146128036,4.62324929,3.146128036,,,
Tis25,Produce Sample,1,,,Top,6/27/2022,6/29/2022,417.01,397.01,4.954242509,4.079181246,2.301029996,,,
Tis60,Produce Sample,4,,,Top,6/27/2022,6/29/2022,316.02,296.02,,4.079181246,,7.594881407,7.100599181,
Tis3,Produce Sample,Edge Creek,,,Bottom,6/27/2022,6/29/2022,480.96,460.96,5,5.068185862,,7.286722531,6.947559151,
Tis10,Produce Sample,Edge Creek,,,Top,6/27/2022,6/29/2022,495.22,475.22,,4.556302501,2.903089987,7.299014704,6.456366033,
Tis7,Produce Sample,Edge Creek,,,Top,6/27/2022,6/29/2022,412.84,392.84,4.698970004,4.307496038,,,,
Tis32,Produce Sample,6,,,Bottom,6/27/2022,6/29/2022,503.01,483.01,5.51851394,,,7.659606736,7.510644289,5.597695186
Tis31,Produce Sample,6,,,Top,6/27/2022,6/29/2022,492.49,472.49,5.342422681,4.792391689,,,,
Tis27,Produce Sample,4,,,Top,6/27/2022,6/29/2022,197.3,177.3,5.929418926,6.130562405,,7.500602351,7.386531993,
Tis11,Produce Sample,Edge Creek,,,Top,6/27/2022,6/29/2022,260.43,240.43,5.591064607,,,7.45371462,7.04120553,
Tis2,Produce Sample,Edge Creek,,,Bottom,6/27/2022,6/29/2022,199.15,179.15,4.708411561,4.071882007,1.342422681,,,
Tis28,Produce Sample,4,,,Bottom,6/27/2022,6/29/2022,467.78,447.78,,4.653212514,,7.43639826,,
Tis24,Produce Sample,1,,,Top,6/27/2022,6/29/2022,357.85,337.85,5.041392685,5.123851641,,7.71001624,7.822890465,
Tis26,Produce Sample,1,,,Bottom,6/27/2022,6/29/2022,334.74,314.74,,4.173186268,2.602059991,7.416825353,TNTC,5.334453751
Tis9,Produce Sample,Edge Creek,,,top,6/27/2022,6/29/2022,367.51,347.51,5.602059991,5.893201489,,7.646033929,7.460730839,
Tis6,Produce Sample,Edge Creek,,,Bottom,6/27/2022,6/29/2022,292.38,272.38,5.079181246,4.173186268,2.698970004,,,
Tis30,Produce Sample,5,,,Bottom,6/27/2022,6/29/2022,236.2,216.2,5.079181246,3.716003344,,,,
Tis29,Produce Sample,5,,,Top,6/27/2022,6/29/2022,326.5,306.5,5.477121255,4.77815125,1.505149978,,,
Tis5,Produce Sample,Edge Creek,,,Bottom,6/27/2022,6/29/2022,380.6,360.6,5.51851394,5.833350297,,7.73506011,7.68763546,
MT19,Aggregative Swab,Edge Creek,msd,wet,Bottom,6/27/2022,6/29/2022,33.58,30.12,,6.758032962,1.977723605,8.431959096,7.622425156,
MT23,Aggregative Swab,Edge Creek,msd,wet,Top ,6/27/2022,6/29/2022,31.11,32.59,,,,8.178763849,8.138115543,
MT16,Aggregative Swab,Edge Creek,msd,dry,Top,6/27/2022,6/29/2022,16.9,46.8,5.006131318,1,,,,
MT10,Aggregative Swab,4,msd,wet,Bottom,6/27/2022,6/29/2022,31.64,32.06,,6.265429321,,8.254377974,7.970545021,
MT7,Aggregative Swab,6,msd,wet,Top,6/27/2022,6/29/2022,30.84,32.86,,6.731299961,,8.466263327,6.666785321,
MT121,Aggregative Swab,4,msd,wet,Bottom,6/27/2022,6/29/2022,38.95,33.55,6.045322979,6.078838066,3.806179974,,,
MT14,Aggregative Swab,Edge Creek,msd,wet,Top,6/27/2022,6/29/2022,31.83,31.87,5.040617851,4.374458913,,,,
MT1,Aggregative Swab,4,msd,dry,Top,6/27/2022,6/29/2022,20.4,43.3,4.933758807,1,,,,
MT13,Aggregative Swab,6,msd,wet,Bottom,6/27/2022,6/29/2022,31.39,32.31,,6.389822118,,8.463505893,7.723680564,
MT12,Aggregative Swab,6,msd,wet,Top,6/27/2022,6/29/2022,28.73,34.97,5.748188027,5.51435095,,,,
MT24,Aggregative Swab,1,msd,wet,Top,6/27/2022,6/29/2022,24.2,39.5,6.755874856,6.750479824,,7.882543421,7.62484463,
MT27,Aggregative Swab,1,hand ,wet,Top,6/27/2022,6/29/2022,32.62,31.08,6.482950798,6.362775592,3.230448921,8.670602121,TNTC,
MT28,Aggregative Swab,2,hand,wet,Top,6/27/2022,6/29/2022,34.45,29.25,5.826074803,5.916266793,,TNTC,TNTC,
MT30,Aggregative Swab,Edge Creek,hand,wet,Top,6/27/2022,6/29/2022,32.57,31.13,6.301029996,6.204622348,,,,
MT6,Aggregative Swab,Edge Creek,msd,wet,Bottom,6/27/2022,6/29/2022,31.5,32.2,,6.836589773,,,,
MT29,Aggregative Swab,2,hand,wet,Top,6/27/2022,6/29/2022,30.22,33.48,7.746394654,,,8.774405842,8.733184105,
MT25,Aggregative Swab,Edge Creek,msd,wet,Top,6/27/2022,6/29/2022,31.91,31.79,,,,8.303035978,8.243038049,
MT9,Aggregative Swab,5,msd,wet,Top,6/27/2022,6/29/2022,31.46,32.24,,6.463505893,4.26760624,8.216996247,TNTC,
MT18,Aggregative Swab,Edge Creek,msd,wet,Bottom,6/27/2022,6/29/2022,33.84,29.86,5.681241237,5.88667959,,7.816730156,7.01616166,
MT36,Aggregative Swab,Edge Creek,hand,wet,Top,6/27/2022,6/29/2022,32.88,30.82,,6.529039054,,8.466263327,TNTC,
MT8,Aggregative Swab,5,msd,wet,Top,6/27/2022,6/29/2022,29.29,34.41,6.945230489,6.253884982,3.633468456,,,
MT3,Aggregative Swab,5,msd,dry,Bottom,6/27/2022,6/29/2022,22.26,41.44,,1.176091259,,5.361727836,,
MT4,Aggregative Swab,5,msd,dry,Bottom,6/27/2022,6/29/2022,22.74,40.96,5.247609612,1,,,,
MT5,Aggregative Swab,6,msd,dry,Bottom,6/27/2022,6/29/2022,21.8,41.9,5.052294502,0.698970004,,5.556302501,,
MT26,Aggregative Swab,1,msd,wet,Bottom,6/27/2022,6/29/2022,31.62,32.08,6.255272505,,,8.643729974,8.490322711,
MT2,Aggregative Swab,4,msd,dry,Top,6/27/2022,6/29/2022,22.2,41.5,5.269469299,2.301029996,,,,
MT15,Aggregative Swab,Edge Creek,msd,dry,Top,6/27/2022,6/29/2022,22.97,40.73,,2.267171728,,5.908485019,5.544068044,
MT35,Aggregative Swab,Edge Creek,hand,wet,Top,6/27/2022,6/29/2022,34.06,29.64,6.544068044,6.519140176,2.462397998,,TNTC,
MT22,Aggregative Swab,Edge Creek,msd,dry,Bottom,6/27/2022,6/29/2022,23.78,39.92,5.397940009,3.838849091,,,,
MT20,Aggregative Swab,Edge Creek,msd,dry,Bottom,6/27/2022,6/29/2022,22.78,40.92,5.176091259,4.727128581,,,,
MT17,Aggregative Swab,Edge Creek,msd,dry,Top,6/27/2022,6/29/2022,22.27,41.43,5.010516119,2.397940009,,,,
MT21,Aggregative Swab,Edge Creek,msd,dry,Bottom,6/27/2022,6/29/2022,21.83,41.87,5.462397998,1.875061263,,,,
